metric,value
cumulative_return,0.13596612774709183
cagr,0.025824521604117967
annualized_volatility,0.1356113386549872
sharpe,0.2557943113620132
sortino,0.36265772126908696
maximum_drawdown,-0.2609256544165097
benchmark_cumulative_return,0.20355991638906112
tracking_error,0.039630391277786586
information_ratio,-0.28603199940337964
annualized_arithmetic_active_return,-0.011335560054323556
annualized_turnover,3.059248040343468
total_cost_fraction_sum,0.015296240201717338
compounded_cost_drag,0.017548661532693854
average_absolute_active_weight,0.03217941467517065
maximum_position,0.09474007902103904
average_estimated_tracking_error,0.04183998009203161
mean_ic,-0.013435303844563875
median_ic,-0.007692307692307694
ic_std,0.16426286802112586
ic_information_ratio,-0.08179148462716455
positive_ic_fraction,0.4406779661016949
