date,SYN000,SYN001,SYN002,SYN003,SYN004,SYN005,SYN006,SYN007,SYN008,SYN009,SYN010,SYN011,SYN012,SYN013,SYN014,SYN015,SYN016,SYN017,SYN018,SYN019,SYN020,SYN021,SYN022,SYN023,SYN024,SYN025,SYN026,SYN027,SYN028,SYN029,SYN030,SYN031,SYN032,SYN033,SYN034,SYN035,SYN036,SYN037,SYN038,SYN039
2018-12-20,0.07999999999995519,3.5890846562584566e-13,0.07999999999996778,0.025000000000023212,8.251871317643312e-14,1.3703153509482205e-13,0.02500000000011924,0.025000000000125547,0.024999999999966372,0.02499999999965746,0.024999999999919528,0.024999999999686398,0.024999999999432282,2.4788026496317084e-13,0.024999999999939678,0.025000000000172128,0.025000000000146995,6.538267703042003e-14,0.025000000000021283,0.049999999998330734,2.4570677761212725e-13,0.024999999999936115,0.024999999891731267,0.02500000000058094,0.025000000000085298,2.749446030040929e-13,0.025000000000018167,0.02500000000003043,0.02500000000001222,1.600349793908957e-14,0.07999999999985624,1.689733878803162e-10,0.025000000000094946,3.542357572455976e-14,0.07999999999988507,0.024999999999931632,7.166463462550815e-12,0.02499999993312804,0.07999999999961453,2.7692681533596005e-14
2018-12-21,0.08064273634966776,3.6090872244514413e-13,0.08014293244645201,0.02505557615418226,8.174197533523051e-14,1.3261166618034422e-13,0.025004128880348024,0.024397447692677432,0.02566663631733185,0.025514118968617407,0.02497413477516574,0.024455358878444484,0.025127246742014143,2.5731658824119574e-13,0.025071724979746045,0.025198731449837527,0.024850196504553397,6.412658635751032e-14,0.025302144011255318,0.04859092911006455,2.523299063484916e-13,0.02506058739575994,0.02535678883697154,0.02510181301843362,0.024829153659497234,2.79708680338804e-13,0.024626583105287602,0.02495485908886935,0.025483200866330734,1.6002323483870312e-14,0.07949723729786572,1.6873895643101173e-10,0.024560075217574376,3.632321825660924e-14,0.08017165107445931,0.024986061880189182,7.093353745417744e-12,0.025562359499549266,0.07981558562151367,2.7089108411187566e-14
2018-12-24,0.08036391815570634,3.5927300399510354e-13,0.0801472685439396,0.025314036289180147,8.150200409123435e-14,1.3299551544327937e-13,0.02504950359796891,0.024746261043340833,0.02594709150055009,0.025180624533658526,0.024958323085727582,0.023810276469381466,0.0248906464252449,2.6224770072215836e-13,0.02513364730009698,0.02510687025630291,0.02497197720642417,6.489045925992317e-14,0.025740964085199547,0.04873916844222554,2.502636210846501e-13,0.024411923111385066,0.02552547403156623,0.025447679329791993,0.024705605725494104,2.759388160846256e-13,0.02491719957698514,0.02474352623776414,0.025603393045636528,1.592959125646747e-14,0.07934059447432308,1.6508526208471e-10,0.02459643271532443,3.6130941880297957e-14,0.07952533493090838,0.02505772320971578,7.023142121381901e-12,0.0257328174779419,0.08029171902460185,2.6285200043703147e-14
2018-12-25,0.08146381723943932,3.6017695902203273e-13,0.08001053750847063,0.025340104888288143,8.266019275117477e-14,1.3287696271418876e-13,0.0251190746983516,0.02473151806442604,0.02569241380012764,0.02449107795791538,0.02495425134244264,0.0241649878227068,0.02495490495731487,2.571268351717513e-13,0.025259075309902613,0.024954786352361463,0.02463966707817233,6.569422601748591e-14,0.025389220498180102,0.04965042026072614,2.5307375994687604e-13,0.02432141177597466,0.025591866544246087,0.026204067465948937,0.024704634520904954,2.7600515313757283e-13,0.02577806239627647,0.02467372514191939,0.02567387899076291,1.562782706698516e-14,0.077732550194517,1.6402814162047687e-10,0.024508515687660534,3.6070626620104655e-14,0.07830793180628812,0.025113192091575375,6.952696091905772e-12,0.025845455022414986,0.08072885041019885,2.5968571160418327e-14
2018-12-26,0.07994548325803598,3.646514072584225e-13,0.07991029511435147,0.025414736341236848,8.367119938271504e-14,1.322645995963447e-13,0.024852820738212964,0.024311545154548926,0.025673539464961644,0.024583623185028474,0.025365869225981528,0.023942618898136373,0.02519495584798162,2.57154842139342e-13,0.024887868938155203,0.02463343797947272,0.024356784299322323,6.38380842111996e-14,0.025887955333458133,0.0495739312134821,2.5137177833119767e-13,0.024613120594747073,0.024921386963277687,0.026196897602019195,0.024889311629092952,2.7363332187266933e-13,0.026346618779678282,0.024666323931137962,0.0262397021603424,1.5818142399260653e-14,0.07744715039694214,1.6155519097470942e-10,0.02427533985346013,3.5721055444415605e-14,0.07771215727086962,0.02500036950726259,7.0252650245377466e-12,0.025827674730863757,0.08332848141785647,2.4988114636319678e-14
2018-12-27,0.07843810017545058,3.6271734757721573e-13,0.08123630394927919,0.02549745238078329,8.228505638225697e-14,1.3138968360823137e-13,0.024634000266809744,0.02411923453519588,0.026454518355180718,0.02453414072838998,0.025350673498150712,0.023854861237826555,0.025298147319522426,2.555228265091029e-13,0.024880325747063285,0.024627121625514326,0.024516110211094174,6.518904019642902e-14,0.02573543608319923,0.0503711800215048,2.521130987050706e-13,0.024422542761416036,0.02517567293062614,0.026514996490959678,0.024994344135192862,2.7463063118760696e-13,0.02603042072258041,0.025316722656536294,0.025615742323203815,1.5994952879107392e-14,0.07755590762051211,1.6326162288594314e-10,0.024182943250864408,3.6453567368702594e-14,0.0778667177747435,0.02466032850358504,6.9228050602596835e-12,0.02601443151832322,0.08210162300480515,2.577047947960988e-14
2018-12-28,0.07919852971097341,3.70743576250821e-13,0.08168611417611471,0.02534047113956293,8.157798465781665e-14,1.262439296440708e-13,0.024556724271228677,0.024418523098543376,0.026077602534818965,0.024529372079503915,0.02503187114257104,0.023973973880562275,0.025539682085403914,2.494148853484948e-13,0.024625313205570095,0.024760097282527108,0.02463444061828655,6.45628614284534e-14,0.025999618710936517,0.04959430275641306,2.541620268107658e-13,0.02439391704653294,0.02525233832048036,0.025524536212576922,0.025000748094730598,2.767689185212961e-13,0.026011818639601954,0.0255009407720478,0.025973107103931994,1.5820859293764416e-14,0.07780894597123342,1.6032099027218728e-10,0.024064578533299533,3.6607747858824654e-14,0.07764260585642949,0.02473308798732811,6.886791047129631e-12,0.025673696265847534,0.0824530423342337,2.5501747982501247e-14
2018-12-31,0.07873419192080813,3.7376872007538765e-13,0.08143403027456492,0.02512514802523896,8.328098888200076e-14,1.2617220036513142e-13,0.024219378831877025,0.023689057232678827,0.02642754514381324,0.024465047633168632,0.024661571217345832,0.024042800213749223,0.02569621390766037,2.471218062546267e-13,0.025078581138426276,0.025218901834711312,0.024728301635996534,6.556820903477003e-14,0.026094323304520783,0.0497618559684295,2.552214677082524e-13,0.024397579469371353,0.02464991838607301,0.025272019480959373,0.02500293233937038,2.7916411914710046e-13,0.025922292662070936,0.025240019238084065,0.02631494842584364,1.573307517928082e-14,0.07764642654247379,1.6181227252229285e-10,0.02428474084853846,3.625521873869606e-14,0.07849608503362944,0.02467002155424102,6.841895733764809e-12,0.025631796180057956,0.08309427138613473,2.5860039321487412e-14
2019-01-01,0.07999999999951074,7.743128678258496e-13,0.07999999999955003,0.07098734568682624,0.0,1.5742105932149048e-12,0.07999999999725922,0.02331415802417347,0.0251966923235313,6.008012498580382e-13,8.419673986189576e-13,1.033108503983096e-12,1.7003720104260382e-12,0.0,7.766586759058584e-12,0.07999999999722042,0.07999999999641813,0.0,0.02618757601420566,0.07999999999861346,0.0,2.606050712046833e-12,1.0103633569266799e-12,0.006678943426838486,0.025284610423016583,1.6424654325421706e-13,5.069858733866567e-13,2.0707628201337873e-12,0.022350674004318394,0.0,0.07999999999948108,8.946586233597895e-11,0.07999999998893459,0.0,0.07999999999926029,5.4810939439970896e-12,4.358719214485533e-12,1.4938969936291715e-12,0.07999999999939275,0.0
2019-01-02,0.07935695502198378,7.708060531704869e-13,0.08066848664262173,0.07100088269441586,0.0,1.5770178119771037e-12,0.07878953846469454,0.023009359104439117,0.025086300480516553,5.914642866148645e-13,8.397034978789303e-13,1.0500399488639648e-12,1.7031519865255764e-12,0.0,7.676840377588665e-12,0.08096202614945967,0.08078248228735052,0.0,0.025852236450237723,0.08002821814587624,0.0,2.6066653982978768e-12,1.003772247995703e-12,0.0066473988575542825,0.025071004043868587,1.6158027614091379e-13,5.155573382048593e-13,2.0962947905111156e-12,0.022262448688969993,0.0,0.08033787844639695,9.326705026713425e-11,0.08122747595234736,0.0,0.07970970266295262,5.462341570746825e-12,4.430189199363694e-12,1.5123259666548949e-12,0.07920760578104988,0.0
